																Vergleich der Annotator:innen										Vergleich der Annotator:innen mit Goldstandard von Alina			
	Hannah 1		Hannah 2	Text	Annotatorin 1 (Hannah)	Anna 1	Anna 2	Text	Goldstandard 	Token	Alina 1	Goldstandard (alt)	Alina 2		Svenja - Goldstandard (neu)	B+D Übereinstimmung	D+F Übereinstimmung	F+G Übereinstimmung	G+H Übereinstimmung	H+J Übereinstimmung	J+L Übereinstimmung	L+M Übereinstimmung	M+N Übereinstimmung	N+P Übereinstimmung	D+F Übereinstimmung	D+P Übereinstimmung	H+P Übereinstimmung	J/M+P Übereinstimmung	N+P Übereinstimmung
Die	O	Die	0	Die	0	0	0	Die	0	Die	0	0	0	Die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Resel	O	Resel	0	Resel	0	0	0	Resel	0	Resel	0	0	0	Resel	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Es	O	Es	0	Es	0	0	0	Es	0	Es	0	0	0	Es	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
war	O	war	0	war	0	0	0	war	0	war	0	0	0	war	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
im	O	im	0	im	0	0	0	im	0	im	0	0	0	im	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
März	O	März	0	März	0	0	0	März	0	März	0	0	0	März	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zwischen	O	zwischen	0	zwischen	0	0	0	zwischen	0	zwischen	0	0	0	zwischen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Okuli	O	Okuli	0	0kuli	0	0	0	0kuli	0	0kuli	0	0	0	0kuli	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Lätare	O	Lätare	0	Lätare	0	0	0	Lätare	0	Lätare	0	0	0	Lätare	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
